[18/06 09:54:02] OK: captura ja rodando.
[18/06 09:59:02] OK: captura ja rodando.
[18/06 10:04:03] OK: captura ja rodando.
[18/06 10:09:02] OK: captura ja rodando.
[18/06 10:14:02] OK: captura ja rodando.
[18/06 10:19:02] OK: captura ja rodando.
[18/06 10:24:02] OK: captura ja rodando.
[18/06 10:29:02] OK: captura ja rodando.
[18/06 10:34:02] OK: captura ja rodando.
[18/06 10:39:03] OK: captura ja rodando.
[18/06 10:44:02] OK: captura ja rodando.
[18/06 10:49:02] OK: captura ja rodando.
[18/06 10:54:03] OK: captura ja rodando.
[18/06 10:59:02] OK: captura ja rodando.
[18/06 11:04:03] OK: captura ja rodando.
[18/06 11:09:02] OK: captura ja rodando.
[18/06 11:14:02] OK: captura ja rodando.
[18/06 11:19:03] OK: captura ja rodando.
[18/06 11:24:02] OK: captura ja rodando.
[18/06 11:29:02] OK: captura ja rodando.
[18/06 11:34:02] OK: captura ja rodando.
[18/06 11:39:03] OK: captura ja rodando.
[18/06 11:44:03] OK: captura ja rodando.
[18/06 11:49:02] OK: captura ja rodando.
[18/06 11:54:03] OK: captura ja rodando.
[18/06 11:59:03] OK: captura ja rodando.
[18/06 12:04:03] OK: captura ja rodando.
[18/06 12:09:03] OK: captura ja rodando.
[18/06 12:14:03] OK: captura ja rodando.
[18/06 12:19:03] OK: captura ja rodando.
[18/06 12:24:03] OK: captura ja rodando.
[18/06 12:29:03] OK: captura ja rodando.
[18/06 12:34:03] OK: captura ja rodando.
[18/06 12:39:03] OK: captura ja rodando.
[18/06 12:44:03] OK: captura ja rodando.
[18/06 12:49:03] OK: captura ja rodando.
[18/06 12:54:03] OK: captura ja rodando.
[18/06 12:59:03] OK: captura ja rodando.
[18/06 13:04:03] OK: captura ja rodando.
[18/06 13:09:03] OK: captura ja rodando.
[18/06 13:14:03] OK: captura ja rodando.
[18/06 13:19:03] OK: captura ja rodando.
[18/06 13:24:03] OK: captura ja rodando.
[18/06 13:29:02] OK: captura ja rodando.
[18/06 13:34:02] OK: captura ja rodando.
[18/06 13:39:02] OK: captura ja rodando.
[18/06 13:44:02] OK: captura ja rodando.
[18/06 13:49:02] OK: captura ja rodando.
[18/06 13:54:02] OK: captura ja rodando.
[18/06 13:59:02] OK: captura ja rodando.
[18/06 14:04:02] OK: captura ja rodando.
[18/06 14:09:02] OK: captura ja rodando.
[18/06 14:14:02] OK: captura ja rodando.
[18/06 14:19:02] OK: captura ja rodando.
[18/06 14:24:02] OK: captura ja rodando.
[18/06 14:29:02] OK: captura ja rodando.
[18/06 14:34:02] OK: captura ja rodando.
[18/06 14:39:03] OK: captura ja rodando.
[18/06 14:44:02] OK: captura ja rodando.
[18/06 14:49:02] OK: captura ja rodando.
[18/06 14:54:02] OK: captura ja rodando.
[18/06 14:59:02] OK: captura ja rodando.
[18/06 15:04:02] OK: captura ja rodando.
[18/06 15:09:02] OK: captura ja rodando.
[18/06 15:14:02] OK: captura ja rodando.
[18/06 15:19:03] OK: captura ja rodando.
[18/06 15:24:02] OK: captura ja rodando.
[18/06 15:29:02] OK: captura ja rodando.
[18/06 15:34:02] OK: captura ja rodando.
[18/06 15:39:02] OK: captura ja rodando.
[18/06 15:44:02] OK: captura ja rodando.
[18/06 15:49:02] OK: captura ja rodando.
[18/06 15:54:02] OK: captura ja rodando.
[18/06 15:59:02] OK: captura ja rodando.
[18/06 16:04:02] OK: captura ja rodando.
[18/06 16:09:02] OK: captura ja rodando.
[18/06 16:14:02] OK: captura ja rodando.
[18/06 16:19:02] OK: captura ja rodando.
[18/06 16:24:02] OK: captura ja rodando.
[18/06 16:29:02] OK: captura ja rodando.
[18/06 16:34:03] OK: captura ja rodando.
[18/06 16:39:02] OK: captura ja rodando.
[18/06 16:44:02] OK: captura ja rodando.
[18/06 16:49:01] OK: captura ja rodando.
[18/06 16:54:02] OK: captura ja rodando.
[18/06 16:59:01] OK: captura ja rodando.
[18/06 17:04:01] OK: captura ja rodando.
[19/06 07:29:02] OK: captura ja rodando.
[19/06 07:34:02] OK: captura ja rodando.
[19/06 07:39:02] OK: captura ja rodando.
[19/06 07:44:02] OK: captura ja rodando.
[19/06 07:49:03] OK: captura ja rodando.
[19/06 07:54:02] OK: captura ja rodando.
[19/06 07:59:02] OK: captura ja rodando.
[19/06 08:04:02] OK: captura ja rodando.
[19/06 08:09:02] OK: captura ja rodando.
[19/06 08:14:02] OK: captura ja rodando.
[19/06 08:19:02] OK: captura ja rodando.
[19/06 08:24:02] OK: captura ja rodando.
[19/06 08:29:02] OK: captura ja rodando.
[19/06 08:34:02] OK: captura ja rodando.
[19/06 08:39:02] OK: captura ja rodando.
[19/06 08:44:02] OK: captura ja rodando.
[19/06 08:49:02] OK: captura ja rodando.
[19/06 08:54:02] OK: captura ja rodando.
[19/06 08:59:02] OK: captura ja rodando.
[19/06 09:04:02] OK: captura ja rodando.
[19/06 09:09:02] OK: captura ja rodando.
[19/06 09:14:02] OK: captura ja rodando.
[19/06 09:19:02] OK: captura ja rodando.
[19/06 09:24:02] OK: captura ja rodando.
[19/06 09:29:02] OK: captura ja rodando.
[19/06 09:34:02] OK: captura ja rodando.
[19/06 09:39:02] OK: captura ja rodando.
[19/06 09:44:02] OK: captura ja rodando.
[19/06 09:49:02] OK: captura ja rodando.
[19/06 09:54:02] OK: captura ja rodando.
[19/06 09:59:02] OK: captura ja rodando.
[19/06 10:04:02] OK: captura ja rodando.
[19/06 10:09:02] OK: captura ja rodando.
[19/06 10:14:02] OK: captura ja rodando.
[19/06 10:19:02] OK: captura ja rodando.
[19/06 10:24:02] OK: captura ja rodando.
[19/06 10:29:02] OK: captura ja rodando.
[19/06 10:34:02] OK: captura ja rodando.
[19/06 10:39:02] OK: captura ja rodando.
[19/06 10:44:02] OK: captura ja rodando.
[19/06 10:49:02] OK: captura ja rodando.
[19/06 10:54:02] OK: captura ja rodando.
[19/06 10:59:02] OK: captura ja rodando.
[19/06 11:04:02] OK: captura ja rodando.
[19/06 11:09:02] OK: captura ja rodando.
[19/06 11:14:02] OK: captura ja rodando.
[19/06 11:19:02] OK: captura ja rodando.
[19/06 11:24:02] OK: captura ja rodando.
[19/06 11:29:02] OK: captura ja rodando.
[19/06 11:34:02] OK: captura ja rodando.
[19/06 11:39:02] OK: captura ja rodando.
[19/06 11:44:02] OK: captura ja rodando.
[19/06 11:49:02] OK: captura ja rodando.
[19/06 11:54:02] OK: captura ja rodando.
[19/06 11:59:02] OK: captura ja rodando.
[19/06 12:04:02] OK: captura ja rodando.
[19/06 12:09:02] OK: captura ja rodando.
[19/06 12:14:02] OK: captura ja rodando.
[19/06 12:19:02] OK: captura ja rodando.
[19/06 12:24:02] OK: captura ja rodando.
[19/06 12:29:02] OK: captura ja rodando.
[19/06 12:34:02] OK: captura ja rodando.
[19/06 12:39:02] OK: captura ja rodando.
[19/06 12:44:02] OK: captura ja rodando.
[19/06 12:49:02] OK: captura ja rodando.
[19/06 12:54:02] OK: captura ja rodando.
[19/06 12:59:02] OK: captura ja rodando.
[19/06 13:04:01] OK: captura ja rodando.
[19/06 13:09:01] OK: captura ja rodando.
[19/06 13:14:01] OK: captura ja rodando.
[19/06 13:19:01] OK: captura ja rodando.
[19/06 13:24:01] OK: captura ja rodando.
[19/06 13:29:01] OK: captura ja rodando.
[19/06 13:34:01] OK: captura ja rodando.
[19/06 13:39:01] OK: captura ja rodando.
[19/06 13:44:01] OK: captura ja rodando.
[19/06 13:49:01] OK: captura ja rodando.
[19/06 13:54:01] OK: captura ja rodando.
[19/06 13:59:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 13:59:03] Captura (PowerShell) reaberta.
[19/06 14:04:04] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:04:04] Captura (PowerShell) reaberta.
[19/06 14:09:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:09:03] Captura (PowerShell) reaberta.
[19/06 14:14:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:14:03] Captura (PowerShell) reaberta.
[19/06 14:19:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:19:03] Captura (PowerShell) reaberta.
[19/06 14:24:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:24:03] Captura (PowerShell) reaberta.
[19/06 14:29:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:29:03] Captura (PowerShell) reaberta.
[19/06 14:34:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:34:03] Captura (PowerShell) reaberta.
[19/06 14:39:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:39:03] Captura (PowerShell) reaberta.
[19/06 14:44:04] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:44:04] Captura (PowerShell) reaberta.
[19/06 14:49:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:49:03] Captura (PowerShell) reaberta.
[19/06 14:54:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:54:03] Captura (PowerShell) reaberta.
[19/06 14:59:04] Captura parada. Reabrindo a versao PowerShell...
[19/06 14:59:04] Captura (PowerShell) reaberta.
[19/06 15:04:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:04:03] Captura (PowerShell) reaberta.
[19/06 15:09:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:09:03] Captura (PowerShell) reaberta.
[19/06 15:14:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:14:03] Captura (PowerShell) reaberta.
[19/06 15:19:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:19:03] Captura (PowerShell) reaberta.
[19/06 15:24:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:24:03] Captura (PowerShell) reaberta.
[19/06 15:29:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:29:03] Captura (PowerShell) reaberta.
[19/06 15:34:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:34:03] Captura (PowerShell) reaberta.
[19/06 15:39:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:39:03] Captura (PowerShell) reaberta.
[19/06 15:44:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:44:03] Captura (PowerShell) reaberta.
[19/06 15:49:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:49:03] Captura (PowerShell) reaberta.
[19/06 15:54:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:54:03] Captura (PowerShell) reaberta.
[19/06 15:59:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 15:59:03] Captura (PowerShell) reaberta.
[19/06 16:04:03] Captura parada. Reabrindo a versao PowerShell...
[19/06 16:04:03] Captura (PowerShell) reaberta.
[19/06 19:29:30] Captura parada. Reabrindo a versao PowerShell...
[19/06 19:29:30] Captura (PowerShell) reaberta.
[22/06 07:19:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:19:04] Captura (PowerShell) reaberta.
[22/06 07:24:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:24:04] Captura (PowerShell) reaberta.
[22/06 07:29:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:29:04] Captura (PowerShell) reaberta.
[22/06 07:34:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:34:04] Captura (PowerShell) reaberta.
[22/06 07:39:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:39:04] Captura (PowerShell) reaberta.
[22/06 07:44:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:44:04] Captura (PowerShell) reaberta.
[22/06 07:49:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:49:04] Captura (PowerShell) reaberta.
[22/06 07:54:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:54:04] Captura (PowerShell) reaberta.
[22/06 07:59:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 07:59:04] Captura (PowerShell) reaberta.
[22/06 08:04:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:04:04] Captura (PowerShell) reaberta.
[22/06 08:09:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:09:04] Captura (PowerShell) reaberta.
[22/06 08:14:04] Captura parada. Reabrindo a versao PowerShell...
