[17/06 19:50:01] OK: captura ja rodando.
[17/06 19:55:01] OK: captura ja rodando.
[17/06 20:00:01] OK: captura ja rodando.
[17/06 20:05:01] OK: captura ja rodando.
[17/06 20:10:01] OK: captura ja rodando.
[17/06 20:15:01] OK: captura ja rodando.
[17/06 20:20:01] OK: captura ja rodando.
[17/06 20:25:01] OK: captura ja rodando.
[17/06 20:30:01] OK: captura ja rodando.
[17/06 20:35:01] OK: captura ja rodando.
[17/06 20:40:01] OK: captura ja rodando.
[17/06 20:45:01] OK: captura ja rodando.
[17/06 20:50:01] OK: captura ja rodando.
[17/06 20:55:01] OK: captura ja rodando.
[17/06 21:00:01] OK: captura ja rodando.
[17/06 21:05:01] OK: captura ja rodando.
[17/06 21:10:01] OK: captura ja rodando.
[17/06 21:15:01] OK: captura ja rodando.
[17/06 21:20:01] OK: captura ja rodando.
[17/06 21:25:01] OK: captura ja rodando.
[17/06 21:30:01] OK: captura ja rodando.
[17/06 21:35:01] OK: captura ja rodando.
[17/06 21:40:01] OK: captura ja rodando.
[17/06 21:45:01] OK: captura ja rodando.
[17/06 21:50:01] OK: captura ja rodando.
[17/06 21:55:01] OK: captura ja rodando.
[17/06 22:00:01] OK: captura ja rodando.
[17/06 22:05:01] OK: captura ja rodando.
[17/06 22:10:01] OK: captura ja rodando.
[17/06 22:15:01] OK: captura ja rodando.
[17/06 22:20:01] OK: captura ja rodando.
[17/06 22:25:01] OK: captura ja rodando.
[17/06 22:30:01] OK: captura ja rodando.
[17/06 22:35:01] OK: captura ja rodando.
[17/06 22:40:01] OK: captura ja rodando.
[17/06 22:45:01] OK: captura ja rodando.
[17/06 22:50:01] OK: captura ja rodando.
[17/06 22:55:01] OK: captura ja rodando.
[17/06 23:00:01] OK: captura ja rodando.
[17/06 23:05:01] OK: captura ja rodando.
[17/06 23:10:01] OK: captura ja rodando.
[17/06 23:15:01] OK: captura ja rodando.
[17/06 23:20:01] OK: captura ja rodando.
[17/06 23:25:01] OK: captura ja rodando.
[17/06 23:30:01] OK: captura ja rodando.
[17/06 23:35:01] OK: captura ja rodando.
[17/06 23:40:01] OK: captura ja rodando.
[17/06 23:45:01] OK: captura ja rodando.
[17/06 23:50:01] OK: captura ja rodando.
[17/06 23:55:01] OK: captura ja rodando.
[18/06 00:00:01] OK: captura ja rodando.
[18/06 00:05:01] OK: captura ja rodando.
[18/06 00:10:01] OK: captura ja rodando.
[18/06 00:15:01] OK: captura ja rodando.
[18/06 00:20:01] OK: captura ja rodando.
[18/06 00:25:01] OK: captura ja rodando.
[18/06 00:30:01] OK: captura ja rodando.
[18/06 00:35:01] OK: captura ja rodando.
[18/06 00:40:01] OK: captura ja rodando.
[18/06 00:45:01] OK: captura ja rodando.
[18/06 00:50:01] OK: captura ja rodando.
[18/06 00:55:01] OK: captura ja rodando.
[18/06 01:00:01] OK: captura ja rodando.
[18/06 01:05:01] OK: captura ja rodando.
[18/06 01:10:01] OK: captura ja rodando.
[18/06 01:15:01] OK: captura ja rodando.
[18/06 01:20:01] OK: captura ja rodando.
[18/06 01:25:01] OK: captura ja rodando.
[18/06 01:30:09] OK: captura ja rodando.
[18/06 01:35:01] OK: captura ja rodando.
[18/06 01:40:01] OK: captura ja rodando.
[18/06 01:45:01] OK: captura ja rodando.
[18/06 01:50:01] OK: captura ja rodando.
[18/06 01:55:01] OK: captura ja rodando.
[18/06 02:00:01] OK: captura ja rodando.
[18/06 02:05:01] OK: captura ja rodando.
[18/06 02:10:01] OK: captura ja rodando.
[18/06 02:15:01] OK: captura ja rodando.
[18/06 02:20:01] OK: captura ja rodando.
[18/06 02:25:01] OK: captura ja rodando.
[18/06 02:30:01] OK: captura ja rodando.
[18/06 02:35:01] OK: captura ja rodando.
[18/06 02:40:01] OK: captura ja rodando.
[18/06 02:45:01] OK: captura ja rodando.
[18/06 02:50:01] OK: captura ja rodando.
[18/06 02:55:01] OK: captura ja rodando.
[18/06 03:00:01] OK: captura ja rodando.
[18/06 03:05:01] OK: captura ja rodando.
[18/06 03:10:01] OK: captura ja rodando.
[18/06 03:15:01] OK: captura ja rodando.
[18/06 03:20:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:20:02] Captura (PowerShell) reaberta.
[18/06 03:25:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:25:02] Captura (PowerShell) reaberta.
[18/06 03:30:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:30:02] Captura (PowerShell) reaberta.
[18/06 03:35:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:35:02] Captura (PowerShell) reaberta.
[18/06 03:40:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:40:02] Captura (PowerShell) reaberta.
[18/06 03:45:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:45:02] Captura (PowerShell) reaberta.
[18/06 03:50:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:50:02] Captura (PowerShell) reaberta.
[18/06 03:55:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 03:55:02] Captura (PowerShell) reaberta.
[18/06 04:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:00:02] Captura (PowerShell) reaberta.
[18/06 04:05:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:05:02] Captura (PowerShell) reaberta.
[18/06 04:10:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:10:02] Captura (PowerShell) reaberta.
[18/06 04:15:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:15:02] Captura (PowerShell) reaberta.
[18/06 04:20:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:20:02] Captura (PowerShell) reaberta.
[18/06 04:25:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:25:02] Captura (PowerShell) reaberta.
[18/06 04:30:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:30:02] Captura (PowerShell) reaberta.
[18/06 04:35:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:35:02] Captura (PowerShell) reaberta.
[18/06 04:40:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:40:02] Captura (PowerShell) reaberta.
[18/06 04:45:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:45:02] Captura (PowerShell) reaberta.
[18/06 04:50:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:50:02] Captura (PowerShell) reaberta.
[18/06 04:55:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 04:55:02] Captura (PowerShell) reaberta.
[18/06 05:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:00:02] Captura (PowerShell) reaberta.
[18/06 05:05:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:05:02] Captura (PowerShell) reaberta.
[18/06 05:10:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:10:02] Captura (PowerShell) reaberta.
[18/06 05:15:03] Captura parada. Reabrindo a versao PowerShell...
